condition,model_name,accuracy,precision,recall,f1_score,accuracy_change_vs_normal
fog,pedestrian,0.7964,0.0,0.0,0.0,-0.0075
night,pedestrian,0.7967,0.0,0.0,0.0,-0.0072
normal,pedestrian,0.8039,0.0,0.0,0.0,0.0
town_01,pedestrian,0.9097,0.0,0.0,0.0,0.1058
fog,traffic_light,0.2706,0.0,0.0,0.0,-0.0116
night,traffic_light,0.2703,0.0,0.0,0.0,-0.0119
normal,traffic_light,0.2822,0.0,0.0,0.0,0.0
town_01,traffic_light,0.3119,0.0,0.0,0.0,0.0297
fog,vehicle,0.75,0.7892,0.9235,0.8511,-0.0081
night,vehicle,0.6531,0.8213,0.7048,0.7586,-0.105
normal,vehicle,0.7581,0.7632,0.9822,0.8589,0.0
town_01,vehicle,0.6561,0.6406,0.9665,0.7705,-0.102
