condition,frame,true_label,probability_present,confidence_abs_0_5,ood_score,is_ood
normal,0,0,0.053,0.447,0.053,0
normal,10,0,0.0409,0.4591,0.0409,0
normal,20,0,0.0414,0.4586,0.0414,0
normal,30,0,0.0407,0.4593,0.0407,0
normal,40,0,0.0407,0.4593,0.0407,0
normal,50,0,0.0408,0.4592,0.0408,0
normal,60,0,0.041,0.459,0.041,0
normal,70,0,0.0414,0.4586,0.0414,0
normal,80,0,0.0413,0.4587,0.0413,0
normal,90,0,0.0414,0.4586,0.0414,0
normal,100,0,0.0485,0.4515,0.0485,0
normal,110,0,0.0457,0.4543,0.0457,0
normal,120,0,0.0407,0.4593,0.0407,0
normal,130,0,0.0929,0.4071,0.0929,0
normal,140,0,0.0506,0.4494,0.0506,0
normal,150,0,0.0531,0.4469,0.0531,0
normal,160,0,0.0241,0.4759,0.0241,0
normal,170,0,0.0245,0.4755,0.0245,0
normal,180,0,0.028,0.472,0.028,0
normal,190,0,0.037,0.463,0.037,0
normal,200,0,0.0371,0.4629,0.0371,0
normal,210,0,0.0368,0.4632,0.0368,0
normal,220,0,0.0368,0.4632,0.0368,0
normal,230,0,0.0369,0.4631,0.0369,0
normal,240,0,0.037,0.463,0.037,0
normal,250,0,0.0328,0.4672,0.0328,0
normal,260,0,0.0214,0.4786,0.0214,0
normal,270,0,0.0455,0.4545,0.0455,0
normal,280,0,0.0294,0.4706,0.0294,0
normal,290,0,0.0407,0.4593,0.0407,0
normal,300,0,0.0285,0.4715,0.0285,0
normal,310,0,0.0295,0.4705,0.0295,0
normal,320,0,0.0493,0.4507,0.0493,0
normal,330,0,0.0471,0.4529,0.0471,0
normal,340,0,0.0466,0.4534,0.0466,0
normal,350,0,0.0466,0.4534,0.0466,0
normal,360,0,0.0466,0.4534,0.0466,0
normal,370,0,0.0466,0.4534,0.0466,0
normal,380,0,0.0466,0.4534,0.0466,0
normal,390,0,0.0466,0.4534,0.0466,0
normal,400,0,0.0364,0.4636,0.0364,0
normal,410,0,0.0356,0.4644,0.0356,0
normal,420,0,0.0519,0.4481,0.0519,0
normal,430,0,0.0653,0.4347,0.0653,0
normal,440,0,0.0488,0.4512,0.0488,0
normal,450,0,0.0309,0.4691,0.0309,0
normal,460,0,0.0318,0.4682,0.0318,0
normal,470,0,0.0376,0.4624,0.0376,0
normal,480,0,0.023,0.477,0.023,0
normal,490,0,0.0487,0.4513,0.0487,0
normal,500,0,0.0609,0.4391,0.0609,0
normal,510,0,0.0784,0.4216,0.0784,0
normal,520,0,0.0244,0.4756,0.0244,0
normal,530,0,0.0234,0.4766,0.0234,0
normal,540,0,0.0158,0.4842,0.0158,0
normal,550,0,0.0161,0.4839,0.0161,0
normal,560,0,0.0151,0.4849,0.0151,0
normal,570,0,0.0142,0.4858,0.0142,0
normal,580,0,0.0156,0.4844,0.0156,0
normal,590,0,0.0156,0.4844,0.0156,0
normal,600,0,0.0168,0.4832,0.0168,0
normal,610,0,0.0158,0.4842,0.0158,0
normal,620,0,0.017,0.483,0.017,0
normal,630,0,0.0191,0.4809,0.0191,0
